entity_name,entity_type,region,risk_type,risk_level,sentiment,sentiment_score,violation_reason,impact_scope,summary,llm_confidence,record_id,url
深圳证券交易所,其他,广东,其他风险,低,中性,0.0,无违规，进行创业板改革交易机制仿真测试,整个行业,深交所联合中国结算深圳分公司开展深化创业板改革交易机制仿真测试，覆盖协议大宗交易、盘后固定价格交易扩围、主板风险警示股票涨跌幅调整等业务，确保改革平稳落地。,0.95,NEWS_000001,http://finance.eastmoney.com/a/202606083763428382.html
郑州银行,银行,河南,其他风险,低,负面,-0.3,明确不分红，可能影响股东回报,机构自身、股东权益,郑州银行2025年度明确不分红，成为42家A股上市银行中唯一不分红的银行，可能影响投资者信心。,0.9,NEWS_000002,http://finance.eastmoney.com/a/202606083763260266.html
农业银行,银行,未知,其他风险,低,正面,0.6,股价上涨，无违规行为,机构自身,银行股震荡走高，农业银行涨超3%，其他银行股跟涨，市场表现积极。,0.9,NEWS_000003,http://finance.eastmoney.com/a/202606083763124631.html
北京商报,其他,北京,舆情风险,低,中性,0.0,文章未提及具体违规，仅讨论市场风险与投资策略,机构自身,北京商报评论指出A股震荡调整期，大盘绩优股抗跌性更强，建议投资者关注稳健标的，规避短线题材炒作风险。,0.9,NEWS_000004,http://stock.eastmoney.com/a/202606073762719819.html
北京航天驭星科技股份有限公司,上市公司,北京,其他风险,低,正面,0.6,无违规，启动上市辅导属于正常进程,机构自身,航天驭星启动上市辅导，辅导机构为国泰海通证券，公司主营商业航天测运控服务。,0.9,NEWS_000005,http://finance.eastmoney.com/a/202606083763115837.html
中远海控,上市公司,未知,经营风险,中,中性,0.0,海运市场提早进入旺季，但下半年价格走势不明朗，运营不确定性高,机构自身、整个行业,国际航运价格持续走高，多条航线舱位紧缺，海运市场提早进入旺季，但下半年价格走势不明朗，中东地缘风险持续存在，运营不确定性高。,0.85,NEWS_000006,http://finance.eastmoney.com/a/202606083762796911.html
派瑞股份,上市公司,未知,信息披露风险,高,负面,-0.9,年度报告和半年度报告存在虚假记载，被实施其他风险警示,机构自身、投资者权益,派瑞股份因2024年年度报告和2025年半年度报告存在虚假记载，被实施其他风险警示，股票简称变更为ST派瑞，自6月9日起生效。,0.95,NEWS_000007,http://finance.eastmoney.com/a/202606083762805764.html
中国银河证券,证券,未知,舆情风险,低,中性,0.0,研报提及市场轮动风险，但未涉及违规行为,机构自身,中国银河证券发布研报，提出均衡布局策略，提示外部扰动、行业景气预期和政策监管影响，未发现违规行为。,0.95,NEWS_000008,http://finance.eastmoney.com/a/202606083762802186.html
中国银河证券,证券,未知,经营风险,中,负面,-0.45,水泥市场需求不足，价格走弱，企业提价不及预期,机构自身,中国银河证券预计短期水泥价格延续震荡趋弱态势，因高温降雨导致需求不足，库存回升，涨价落地不及预期。,0.85,NEWS_000009,http://finance.eastmoney.com/a/202606083762800286.html
中信证券,证券,未知,其他风险,低,正面,0.65,无违规，研报指出银行步入基本面修复通道，行业估值提升可期,整个行业,中信证券研报认为上市银行步入基本面修复通道，行业估值提升可期，股息率对低风偏资金有吸引力，具备绝对收益空间。,0.9,NEWS_000010,http://bank.eastmoney.com/a/202606083762798942.html
长鑫科技集团股份有限公司,上市公司,未知,其他风险,低,正面,0.85,无违规，正面报道其IPO进展及银行系资金支持,机构自身,长鑫科技和长江存储迎来IPO新进展，多家银行金融资产投资公司入股，体现金融资源向硬科技领域倾斜，银行通过股权投资优化收益结构，支持科技创新。,0.9,NEWS_000011,http://finance.eastmoney.com/a/202606083762793791.html
中信证券,证券,未知,其他风险,低,正面,0.85,无违规，文本为行业分析报告,整个行业,中信证券发布保险行业策略报告，认为保险板块处于长期机遇期，二季度业绩有望亮眼，建议配置头部险企。,0.95,NEWS_000012,http://insurance.eastmoney.com/a/202606083762794875.html
中信证券,证券,未知,其他风险,低,正面,0.65,无违规，文本为行业分析报告,整个行业,中信证券指出AI算力扩张驱动DCI产业链重构，国内厂商有望深度参与全球供应链。,0.9,NEWS_000013,http://finance.eastmoney.com/a/202606083762793837.html
蓝科高新,上市公司,未知,内部控制风险,中,负面,-0.6,重组方案调整，标的股权存在质押风险，可能影响交割,机构自身,蓝科高新调整重组方案，取消蓝亚检测收购，仅收购中国空分51%股权，但标的股权存在质押风险，股价下跌5.98%。,0.85,NEWS_000014,http://finance.eastmoney.com/a/202606083762789324.html
迈赫股份,上市公司,未知,其他风险,中,中性,0.0,限售股解禁比例高达57.37%，可能对股价造成压力,机构自身,迈赫股份今日限售股解禁1.07亿股，占总股本57.37%，解禁市值21.55亿元，解禁比例较高，可能带来减持压力。,0.85,NEWS_000015,http://finance.eastmoney.com/a/202606083762786759.html
中信建投,证券,未知,流动性风险,中,中性,0.0,建议预防潜在的流动性风险,机构自身,中信建投研报指出市场未充分定价油价中枢抬升，建议预防流动性风险，先布局确定性资产。,0.85,NEWS_000016,http://finance.eastmoney.com/a/202606083762786382.html
中信建投,证券,北京,舆情风险,中,中性,0.0,算力板块波动加剧，交易结构拥挤，引发市场疑虑,整个行业,中信建投研报指出算力板块波动加剧，源于基本面优势与交易拥挤的矛盾，短期有再平衡需求，中期关注海外科技股企稳后布局。,0.85,NEWS_000017,http://finance.eastmoney.com/a/202606083762786240.html
私募基金行业,基金,未知,合规风险,中,中性,0.0,行业存在募资结构失衡、部分国资基金偏离功能定位、退出渠道淤堵等问题,整个行业,国务院发布指导意见，加强私募基金全链条监管，推动行业从粗放扩张转向高质量发展，重点解决募资结构失衡、国资基金偏离定位、退出渠道淤堵等风险。,0.9,NEWS_000018,http://finance.eastmoney.com/a/202606083762745162.html
中信建投证券,证券,北京,舆情风险,中,中性,0.0,AI量化工具宣传可能误导散户，实际胜率不稳定，存在投资者教育不足风险,客户权益、行业声誉,文章探讨券商向散户推广AI量化工具，指出其实际胜率约七成，散户与机构差距未缩小，存在合规与投资者保护风险。,0.85,NEWS_000019,http://biz.eastmoney.com/a/202606083762745890.html
