record_id,event_date,entity_name,entity_type,region,risk_type,risk_level,risk_score,sentiment,sentiment_score,violation_reason,impact_scope,summary,source_type,source,title,url
NEWS_000001,2026-06-08,深圳证券交易所,其他,广东,其他风险,低,25.0,中性,0.0,无违规，进行创业板改革交易机制仿真测试,整个行业,深交所联合中国结算深圳分公司开展深化创业板改革交易机制仿真测试，覆盖协议大宗交易、盘后固定价格交易扩围、主板风险警示股票涨跌幅调整等业务，确保改革平稳落地。,news,东方财富新闻,倒计时一个月！交易所启动深化创业板改革交易机制全链路仿真测试 _ 东方财富网,http://finance.eastmoney.com/a/202606083763428382.html
NEWS_000002,2026-06-08,郑州银行,银行,河南,其他风险,低,29.5,负面,-0.3,明确不分红，可能影响股东回报,机构自身、股东权益,郑州银行2025年度明确不分红，成为42家A股上市银行中唯一不分红的银行，可能影响投资者信心。,news,东方财富新闻,本周7家银行“红包”将到账！超331亿 哪家最大方？ _ 东方财富网,http://finance.eastmoney.com/a/202606083763260266.html
NEWS_000003,2026-06-08,农业银行,银行,未知,其他风险,低,25.0,正面,0.6,股价上涨，无违规行为,机构自身,银行股震荡走高，农业银行涨超3%，其他银行股跟涨，市场表现积极。,news,东方财富新闻,银行股震荡走高 农业银行涨超3% _ 东方财富网,http://finance.eastmoney.com/a/202606083763124631.html
NEWS_000004,2026-06-08,北京商报,其他,北京,舆情风险,低,25.0,中性,0.0,文章未提及具体违规，仅讨论市场风险与投资策略,机构自身,北京商报评论指出A股震荡调整期，大盘绩优股抗跌性更强，建议投资者关注稳健标的，规避短线题材炒作风险。,news,东方财富新闻,北京商报侃股：震荡调整期更宜关注大盘绩优股 _ 东方财富网,http://stock.eastmoney.com/a/202606073762719819.html
NEWS_000005,2026-06-08,北京航天驭星科技股份有限公司,上市公司,北京,其他风险,低,25.0,正面,0.6,无违规，启动上市辅导属于正常进程,机构自身,航天驭星启动上市辅导，辅导机构为国泰海通证券，公司主营商业航天测运控服务。,news,东方财富新闻,冲击IPO！航天驭星启动上市辅导 _ 东方财富网,http://finance.eastmoney.com/a/202606083763115837.html
NEWS_000006,2026-06-08,中远海控,上市公司,未知,经营风险,中,35.0,中性,0.0,海运市场提早进入旺季，但下半年价格走势不明朗，运营不确定性高,机构自身、整个行业,国际航运价格持续走高，多条航线舱位紧缺，海运市场提早进入旺季，但下半年价格走势不明朗，中东地缘风险持续存在，运营不确定性高。,news,东方财富新闻,多条航线“一舱难求”再现 机构称海运市场提早进入旺季 _ 东方财富网,http://finance.eastmoney.com/a/202606083762796911.html
NEWS_000007,2026-06-08,派瑞股份,上市公司,未知,信息披露风险,高,63.5,负面,-0.9,年度报告和半年度报告存在虚假记载，被实施其他风险警示,机构自身、投资者权益,派瑞股份因2024年年度报告和2025年半年度报告存在虚假记载，被实施其他风险警示，股票简称变更为ST派瑞，自6月9日起生效。,news,东方财富新闻,6月8日投资避雷针：上周五纳指重挫逾4% 科技股大幅回调 _ 东方财富网,http://finance.eastmoney.com/a/202606083762805764.html
NEWS_000008,2026-06-08,中国银河证券,证券,未知,舆情风险,低,25.0,中性,0.0,研报提及市场轮动风险，但未涉及违规行为,机构自身,中国银河证券发布研报，提出均衡布局策略，提示外部扰动、行业景气预期和政策监管影响，未发现违规行为。,news,东方财富新闻,中国银河证券：聚焦“科技轮动+防御配置”均衡布局策略 _ 东方财富网,http://finance.eastmoney.com/a/202606083762802186.html
NEWS_000009,2026-06-08,中国银河证券,证券,未知,经营风险,中,41.8,负面,-0.45,水泥市场需求不足，价格走弱，企业提价不及预期,机构自身,中国银河证券预计短期水泥价格延续震荡趋弱态势，因高温降雨导致需求不足，库存回升，涨价落地不及预期。,news,东方财富新闻,中国银河证券：预计短期水泥价格延续震荡趋弱态势 _ 东方财富网,http://finance.eastmoney.com/a/202606083762800286.html
NEWS_000010,2026-06-08,中信证券,证券,未知,其他风险,低,30.0,正面,0.65,无违规，研报指出银行步入基本面修复通道，行业估值提升可期,整个行业,中信证券研报认为上市银行步入基本面修复通道，行业估值提升可期，股息率对低风偏资金有吸引力，具备绝对收益空间。,news,东方财富新闻,中信证券：上市银行步入基本面修复通道 行业估值提升可期 _ 东方财富网,http://bank.eastmoney.com/a/202606083762798942.html
NEWS_000011,2026-06-08,长鑫科技集团股份有限公司,上市公司,未知,其他风险,低,25.0,正面,0.85,无违规，正面报道其IPO进展及银行系资金支持,机构自身,长鑫科技和长江存储迎来IPO新进展，多家银行金融资产投资公司入股，体现金融资源向硬科技领域倾斜，银行通过股权投资优化收益结构，支持科技创新。,news,东方财富新闻,耐心资本加码股权投资 _ 东方财富网,http://finance.eastmoney.com/a/202606083762793791.html
NEWS_000012,2026-06-08,中信证券,证券,未知,其他风险,低,30.0,正面,0.85,无违规，文本为行业分析报告,整个行业,中信证券发布保险行业策略报告，认为保险板块处于长期机遇期，二季度业绩有望亮眼，建议配置头部险企。,news,东方财富新闻,中信证券：预计二季度保险公司业绩表现抢眼 保险板块正处于长期机遇期中的重要配置窗口 _ 东方财富网,http://insurance.eastmoney.com/a/202606083762794875.html
NEWS_000013,2026-06-08,中信证券,证券,未知,其他风险,低,30.0,正面,0.65,无违规，文本为行业分析报告,整个行业,中信证券指出AI算力扩张驱动DCI产业链重构，国内厂商有望深度参与全球供应链。,news,东方财富新闻,中信证券：分布式拓展光互联边界 DCI产业链迎系统性重构 _ 东方财富网,http://finance.eastmoney.com/a/202606083762793837.html
NEWS_000014,2026-06-08,蓝科高新,上市公司,未知,内部控制风险,中,44.0,负面,-0.6,重组方案调整，标的股权存在质押风险，可能影响交割,机构自身,蓝科高新调整重组方案，取消蓝亚检测收购，仅收购中国空分51%股权，但标的股权存在质押风险，股价下跌5.98%。,news,东方财富新闻,上市企业聚焦硬科技整合 驱动价值重构 _ 东方财富网,http://finance.eastmoney.com/a/202606083762789324.html
NEWS_000015,2026-06-08,迈赫股份,上市公司,未知,其他风险,中,35.0,中性,0.0,限售股解禁比例高达57.37%，可能对股价造成压力,机构自身,迈赫股份今日限售股解禁1.07亿股，占总股本57.37%，解禁市值21.55亿元，解禁比例较高，可能带来减持压力。,news,东方财富新闻,A股限售股解禁一览：40.78亿元市值限售股今日解禁 _ 东方财富网,http://finance.eastmoney.com/a/202606083762786759.html
